sowing,anthesis,matur,harv,crop,yield,biomass,roots,LAImax,Nfertil,irrig,N-uptake,Nagb,ETcG,ETaG,TraG,PerG,SWCS1,SWCS2,SWCA1,SWCA2,SWCM1,SWCM2,soilN1,soilN2,Nmin1,Nmin2,NleaG,TRRel,Reduk,DryD1,DryD2,Nresid,
1998112,176,221,1998230,SB,5766.3,9184.4,1122.8,2.2741,0,0,103.89000000000001,98.4,298.1000000000001,259.70000000000005,111.29,0.05100000000000004,12.963332482705425,111.72273659174115,35.66666238575824,116.01274476778987,23.20687513788909,67.41984611370779,5305.4717398909215,5750.622704509862,20.063725042116452,78.56633780596995,0,0.9538655462184873,0.9683193277310927,6,n,3.3
2000109,167,224,2000251,SB,5303.5,9288.6,1419.6,2.8404000000000003,0,0,79.07000000000001,71.5,334.40000000000003,289.9999999999999,137.07000000000005,6.617,15.976726611704832,151.5375704796211,54.24097679800233,166.83750201221414,40.42407851921905,174.75414552324318,5304.139739330498,5775.227684260706,29.10162165594614,115.23273034868055,0.5040000000000003,0.9805594405594406,0.8249650349650356,9,n,2.8
2001115,182,230,2001239,SB,6583.2,10396.5,1267.9,2.5751999999999997,70,0,169.93,161.9,286.79999999999995,270.79999999999995,116.18999999999997,11.047999999999996,29.515780242197156,165.73172186865298,36.82478961129889,166.31897831550424,46.679861399212896,183.963100271757,5308.635105391289,5767.860217796049,22.365787760931173,96.10476533826068,0.052000000000000025,0.99152,0.9964799999999998,3,n,5.4
2002108,171,217,2002229,SB,7175.8,11557.1,1454.5,2.9504,70,0,172.82999999999998,163.6,312.00000000000006,297,144.66000000000005,1.0440000000000003,7.922926846917737,138.09852986800837,19.89909274681147,132.12939592425045,50.292245706809126,163.15718965712784,5310.337745108581,5766.878977164094,16.090089196644424,86.32889414634157,0,0.9836885245901639,0.9936885245901639,n,1,5.7
2003114,168,215,2003218,SB,7425.4,12053.2,1524.9,3.0787,60,0,156.32999999999998,146.7,303.9,289.20000000000005,154.62000000000003,21.018999999999995,21.607590312923783,156.85226603314,20.819620244391277,144.99669920509527,6.985552285558923,54.84384459024263,5315.380829809828,5769.6881447296655,16.230138978313335,84.06795022145327,0.11500000000000007,0.9792380952380951,0.988190476190476,n,4,5.1
2004114,183,228,2004251,SB,5718.5,8779.6,977.6,1.9880000000000002,60,0,154.84,149.5,296,261.49999999999994,108.50000000000003,2.742999999999997,26.173764975190643,159.54886738552483,26.05167403797231,144.52357354852214,38.78899878139481,98.25952389676031,5309.93143219849,5766.7745803046855,22.184132072197873,92.65086578730815,0.017000000000000008,0.9715942028985506,0.9972463768115938,n,n,4.8
2005104,176,225,2005242,SB,6086.1,9345.4,1053.2,2.1494999999999997,60,0,148.57,142.9,296.2,283.8,110.52000000000004,38.19899999999999,36.708854408403155,178.92747517984944,22.807227026259973,148.73605913550622,44.94175623666966,185.72072262179174,5299.481904220461,5770.777892380712,19.29670136017207,105.24257521286998,0.8640000000000003,0.9910791366906474,0.9942446043165463,n,n,4.6
2006114,177,211,2006230,SB,5852.1,9815.1,1293.2,2.6253,70,0,146.14000000000001,138.5,282.09999999999997,264.8999999999999,132.89,114.20400000000004,45.88821493286541,195.1186358286927,29.50044493183348,152.80182718999365,46.7431145204896,148.1056337087668,5312.877158561785,5782.527161783344,15.451045376063233,98.66005146909072,5.664999999999997,1,0.991452991452991,n,1,5.1
2007095,164,209,2007213,SB,6622.3,10231.3,1150.8,2.3475,70,0,173.84,166.9,309.59999999999997,273.50000000000006,129.64,0.06800000000000005,19.97876597010457,133.3123159366108,34.85479723269081,160.19473020728222,40.601522878256915,122.75390164739068,5308.6386199027065,5759.172849203091,19.76671952794849,84.60471417144174,0,0.9813445378151261,0.9984873949579824,29,n,5.4
2008109,175,220,2008223,SB,6910,11021.4,1344.4,2.723,60,0,166.52,158.3,293.70000000000005,279.70000000000016,135.24000000000007,2.7179999999999978,18.773254111954603,152.58184971199773,28.772474427120386,143.96548202747866,14.868275646636597,93.60860300394233,5311.243757894448,5759.653073225411,17.152107451813777,79.46160368465314,0,0.9904347826086956,0.9958260869565214,n,n,5.4
